municipio,uf,bev,phev,hev,mhev,hev_flex,ev_plugin,total
"Alterosa","MG",0,0,1,0,0,0,1
"Altinho","PE",3,0,0,0,1,3,4
"Altinópolis","SP",2,9,5,5,2,11,23
"Alto Alegre","RS",0,0,0,1,0,0,1
"Alto Alegre","SP",1,2,0,0,0,3,3
"Alto Alegre do Maranhão","MA",1,0,0,0,3,1,4
"Alto Alegre dos Parecis","RO",0,0,0,0,1,0,1
"Alto Araguaia","MT",0,3,1,0,4,3,8
"Alto Bela Vista","SC",0,0,0,0,2,0,2
"Alto do Rodrigues","RN",3,0,0,0,1,3,4
"Alto Feliz","RS",3,0,0,0,0,3,3
"Alto Garças","MT",0,4,1,0,4,4,9
"Alto Horizonte","GO",1,0,0,0,0,1,1
"Alto Jequitibá","MG",0,0,0,0,2,0,2
"Alto Longá","PI",1,0,0,0,0,1,1
"Alto Paraguai","MT",0,0,0,0,2,0,2
"Alto Paraíso","PR",1,0,0,1,0,1,2
"Alto Paraíso","RO",1,0,0,0,1,1,2
"Alto Paraíso de Goiás","GO",0,0,0,0,1,0,1
"Alto Paraná","PR",3,7,1,0,2,10,13
"Alto Piquiri","PR",2,0,0,0,0,2,2
"Alto Rio Novo","ES",0,0,0,0,2,0,2
"Alto Santo","CE",0,3,0,0,1,3,4
"Alto Taquari","MT",0,2,0,0,0,2,2
"Altônia","PR",1,2,0,0,3,3,6
"Altos","PI",14,10,0,0,6,24,30
"Alumínio","SP",11,5,5,0,3,16,24
"Alvarenga","MG",0,1,0,0,0,1,1
"Álvares Florence","SP",0,0,1,0,0,0,1
"Álvares Machado","SP",27,38,1,0,11,65,77
"Alvinlândia","SP",0,1,0,1,1,1,3
"Alvinópolis","MG",1,0,0,1,5,1,7
"Alvorada","RS",129,33,10,7,13,162,192
"Alvorada","TO",0,0,2,0,3,0,5
"Alvorada do Norte","GO",0,0,0,1,1,0,2
"Alvorada do Sul","PR",2,3,0,0,3,5,8
"Alvorada D'Oeste","RO",0,1,2,0,2,1,5
"Amambai","MS",3,10,11,0,9,13,33
"Amaporã","PR",0,1,0,0,0,1,1
"Amaraji","PE",2,1,0,0,0,3,3
"Amaral Ferrador","RS",1,0,0,0,0,1,1
"Amarante","PI",1,2,0,0,2,3,5
"Amarante do Maranhão","MA",2,0,0,0,1,2,3
"Amargosa","BA",8,10,1,0,4,18,23
"Amélia Rodrigues","BA",2,4,0,1,2,6,9
"Americana","SP",483,1024,144,67,199,1507,1917
"Americano do Brasil","GO",0,1,1,0,3,1,5
"Américo Brasiliense","SP",12,9,3,0,7,21,31
"Américo de Campos","SP",1,2,1,0,1,3,5
"Ametista do Sul","RS",1,0,1,0,5,1,7
"Amontada","CE",3,0,2,0,0,3,5
"Amparo","SP",33,45,21,8,27,78,134
"Amparo do Serra","MG",0,0,0,0,2,0,2
"Ampére","PR",3,10,3,0,8,13,24
"Anadia","AL",1,1,0,0,1,2,3
"Anagé","BA",0,2,0,0,2,2,4
"Anajatuba","MA",3,0,0,0,4,3,7
"Analândia","SP",0,4,2,0,0,4,6
"Ananás","TO",0,2,0,0,3,2,5
"Ananindeua","PA",272,172,46,21,155,444,666
"Anápolis","GO",573,1135,901,2231,797,1708,5637
"Anapu","PA",0,0,0,0,2,0,2
"Anapurus","MA",0,1,0,0,1,1,2
"Anastácio","MS",1,3,0,1,2,4,7
"Anaurilândia","MS",0,0,1,0,1,0,2
"Anchieta","ES",11,30,13,2,11,41,67
"Anchieta","SC",0,0,2,0,0,0,2
"Andirá","PR",5,4,2,0,5,9,16
"Andradas","MG",2,2,2,1,4,4,11
"Andradina","SP",19,49,13,10,12,68,103
"Angatuba","SP",2,18,4,0,1,20,25
"Angélica","MS",0,0,0,0,1,0,1
"Angelim","PE",3,0,0,0,0,3,3
"Angelina","SC",1,2,0,0,1,3,4
"Angical","BA",0,0,0,0,1,0,1
"Angical do Piauí","PI",0,0,0,0,2,0,2
"Angico","TO",0,1,0,0,0,1,1
"Angicos","RN",1,4,1,0,0,5,6
"Angra dos Reis","RJ",137,102,20,9,78,239,346
"Anguera","BA",1,0,0,0,6,1,7
"Anhembi","SP",0,0,0,0,1,0,1
"Anicuns","GO",5,11,0,0,7,16,23
"Anísio de Abreu","PI",0,1,2,0,1,1,4
"Anita Garibaldi","SC",0,3,0,0,4,3,7
"Anitápolis","SC",1,3,1,0,0,4,5
"Anta Gorda","RS",0,0,1,0,2,0,3
"Antas","BA",1,0,0,0,1,1,2
"Antonina","PR",5,0,0,0,1,5,6
"Antônio Cardoso","BA",0,0,0,1,0,0,1
"Antônio Carlos","MG",1,0,0,0,1,1,2
"Antônio Carlos","SC",15,14,4,4,10,29,47
"Antônio Dias","MG",0,0,0,1,1,0,2
"Antônio Gonçalves","BA",0,0,0,1,2,0,3
"Antônio João","MS",0,1,0,0,1,1,2
"Antônio Prado","RS",14,13,3,2,1,27,33
"Aparecida","PB",0,1,0,1,0,1,2
"Aparecida","SP",6,25,9,7,14,31,61
"Aparecida de Goiânia","GO",534,411,62,45,137,945,1189
"Aparecida do Rio Doce","GO",0,2,1,0,1,2,4
"Aparecida do Rio Negro","TO",0,0,0,0,1,0,1
"Aparecida do Taboado","MS",2,4,2,4,5,6,17
"Aparecida d'Oeste","SP",0,0,1,0,1,0,2
"Aperibé","RJ",2,6,2,0,6,8,16
"Apiacá","ES",0,1,0,0,2,1,3
"Apiacás","MT",0,2,0,0,3,2,5
"Apiaí","SP",4,1,1,1,3,5,10
"Apiúna","SC",5,6,3,1,2,11,17
"Apodi","RN",27,13,5,1,4,40,50
"Aporá","BA",1,0,0,1,0,1,2
"Aporé","GO",0,0,0,1,2,0,3
"Apuarema","BA",0,0,1,0,0,0,1
"Apucarana","PR",69,112,23,16,37,181,257
"Apuiarés","CE",1,0,0,0,1,1,2
"Aquidabã","SE",4,1,0,0,0,5,5
"Aquidauana","MS",2,9,4,1,6,11,22
"Aquiraz","CE",119,104,10,8,28,223,269
"Arabutã","SC",1,0,0,0,0,1,1
"Aracaju","SE",1430,1650,366,164,382,3080,3992
"Araçariguama","SP",18,29,3,7,6,47,63
"Aracati","CE",13,14,4,2,8,27,41
"Aracatu","BA",2,1,1,0,0,3,4
"Araçatuba","SP",199,426,165,28,157,625,975
"Araci","BA",6,2,0,0,3,8,11
"Aracoiaba","CE",2,0,0,0,2,2,4
"Araçoiaba da Serra","SP",75,99,31,3,25,174,233
"Aracruz","ES",75,113,27,6,34,188,255
"Araçu","GO",0,0,0,0,5,0,5
"Araçuaí","MG",2,0,0,0,0,2,2
"Aragarças","GO",3,7,1,1,3,10,15
"Aragoiânia","GO",6,1,1,1,5,7,14
"Araguacema","TO",0,0,0,0,1,0,1
"Araguaçu","TO",0,0,0,0,1,0,1
"Araguaína","TO",154,148,22,11,97,302,432
"Araguanã","TO",0,1,0,0,1,1,2
"Araguapaz","GO",1,1,0,0,0,2,2
"Araguari","MG",25,29,8,11,10,54,83
"Araguatins","TO",1,6,1,0,1,7,9
"Araioses","MA",1,0,0,0,0,1,1
"Aral Moreira","MS",0,1,1,0,2,1,4
"Aramari","BA",0,0,0,1,2,0,3
"Arame","MA",1,0,0,0,1,1,2
"Aramina","SP",1,0,0,0,3,1,4
"Arandu","SP",1,1,0,0,1,2,3
"Arapeí","SP",0,1,0,0,0,1,1
"Arapiraca","AL",748,458,35,38,83,1206,1362
"Arapoema","TO",0,1,0,0,0,1,1
"Arapongas","PR",101,175,22,22,33,276,353
"Arapoti","PR",2,10,1,1,5,12,19
"Arapuã","PR",0,0,0,0,1,0,1
"Araputanga","MT",1,8,2,0,4,9,15
"Araquari","SC",168,159,8,11,7,327,353
"Araranguá","SC",41,81,27,7,85,122,241
"Araraquara","SP",355,600,127,28,206,955,1316
"Araras","SP",90,148,47,24,76,238,385
"Arari","MA",0,2,2,2,2,2,8
"Araricá","RS",14,3,4,1,1,17,23
"Araripe","CE",0,1,0,0,1,1,2
"Araripina","PE",8,3,2,0,6,11,19
"Araruama","RJ",176,100,25,20,53,276,374
"Araruna","PB",2,0,2,0,0,2,4
"Araruna","PR",1,6,0,1,6,7,14
"Arataca","BA",0,0,0,0,2,0,2
"Aratiba","RS",7,2,0,0,2,9,11
"Arauá","SE",0,0,1,1,0,0,2
"Araucária","PR",172,103,15,13,37,275,340
"Araújos","MG",0,3,0,0,0,3,3
"Araxá","MG",21,41,8,15,15,62,100
"Arceburgo","MG",3,0,0,0,1,3,4
"Arcos","MG",5,9,1,0,4,14,19
"Arcoverde","PE",37,24,1,5,10,61,77
"Areado","MG",1,2,0,0,0,3,3
"Areal","RJ",5,4,0,0,0,9,9
"Arealva","SP",2,0,1,0,2,2,5
"Areia","PB",1,0,2,2,2,1,7
"Areia Branca","RN",12,8,3,2,3,20,28
"Areia Branca","SE",4,1,0,0,0,5,5
"Areial","PB",3,1,0,0,0,4,4
"Areiópolis","SP",2,1,0,0,0,3,3
"Arenápolis","MT",4,7,3,0,6,11,20
"Arenópolis","GO",1,0,0,0,0,1,1
"Arês","RN",1,0,0,0,0,1,1
"Argirita","MG",1,0,0,0,0,1,1
"Arinos","MG",0,0,0,0,1,0,1
"Aripuanã","MT",1,6,1,0,0,7,8
"Ariquemes","RO",44,94,14,9,37,138,198
"Ariranha","SP",2,0,0,0,1,2,3
"Armação dos Búzios","RJ",54,75,14,11,46,129,200
"Armazém","SC",5,4,0,0,3,9,12
"Aroazes","PI",1,0,0,0,0,1,1
"Aroeiras do Itaim","PI",0,1,0,0,0,1,1
"Arraial do Cabo","RJ",20,14,5,2,17,34,58
"Arraias","TO",0,0,0,0,1,0,1
"Arroio do Meio","RS",13,13,6,2,9,26,43
"Arroio do Padre","RS",1,0,0,0,0,1,1
"Arroio do Sal","RS",15,0,3,0,3,15,21
"Arroio do Tigre","RS",5,2,0,0,2,7,9
"Arroio dos Ratos","RS",3,4,0,1,2,7,10
"Arroio Grande","RS",2,4,4,1,3,6,14
"Arroio Trinta","SC",1,0,1,0,0,1,2
"Artur Nogueira","SP",23,49,12,8,19,72,111
"Aruanã","GO",2,2,0,0,0,4,4
"Arujá","SP",189,263,63,42,111,452,668
"Arvoredo","SC",0,2,0,0,0,2,2
"Arvorezinha","RS",1,3,2,0,5,4,11
"Ascurra","SC",4,4,2,1,3,8,14
"Assaí","PR",7,7,1,0,10,14,25
"Assaré","CE",0,0,0,0,1,0,1
"Assis","SP",87,127,19,8,57,214,298
"Assis Chateaubriand","PR",13,15,7,3,8,28,46
"Astolfo Dutra","MG",2,2,2,0,6,4,12
"Astorga","PR",5,10,2,2,3,15,22
"Atalaia","AL",3,5,2,1,6,8,17
"Atalanta","SC",0,2,0,0,0,2,2
"Atibaia","SP",385,455,81,49,179,840,1149
"Atílio Vivácqua","ES",5,2,4,0,3,7,14
"Augustinópolis","TO",1,0,0,1,1,1,3
"Augusto Corrêa","PA",1,0,1,0,0,1,2
"Augusto Pestana","RS",2,0,1,0,0,2,3
"Áurea","RS",1,0,0,0,1,1,2
"Aurelino Leal","BA",0,0,0,0,1,0,1
"Auriflama","SP",3,11,2,0,5,14,21
"Aurora","CE",0,3,0,1,1,3,5
"Aurora","SC",0,2,1,5,0,2,8
"Aurora do Tocantins","TO",1,0,0,0,0,1,1
"Autazes","AM",0,0,0,1,0,0,1
"Avanhandava","SP",1,2,1,0,4,3,8
"Avaré","SP",39,60,17,6,73,99,195
"Avelinópolis","GO",0,1,2,0,0,1,3
"Axixá","MA",0,0,0,0,1,0,1
"Babaçulândia","TO",0,1,0,0,0,1,1
"Bacabal","MA",20,6,4,6,51,26,87
"Bacabeira","MA",0,2,0,0,2,2,4
"Bacuri","MA",0,1,0,0,0,1,1
"Bady Bassitt","SP",39,60,11,0,10,99,120
"Baependi","MG",0,4,0,0,3,4,7
"Bagé","RS",30,48,15,12,35,78,140
"Bagre","PA",0,1,0,0,1,1,2
"Baía Formosa","RN",2,0,0,0,0,2,2
"Baião","PA",2,2,0,0,0,4,4
"Baixa Grande","BA",1,0,0,0,1,1,2
"Baixa Grande do Ribeiro","PI",0,1,1,0,0,1,2
"Baixo Guandu","ES",8,29,12,0,16,37,65
"Balbinos","SP",0,1,0,0,1,1,2
"Baldim","MG",2,1,0,0,3,3,6
"Baliza","GO",1,0,0,0,1,1,2
"Balneário Arroio do Silva","SC",5,14,5,2,4,19,30
"Balneário Barra do Sul","SC",10,14,0,1,7,24,32
"Balneário Camboriú","SC",913,1846,317,257,276,2759,3609
"Balneário Gaivota","SC",3,13,4,0,6,16,26
"Balneário Piçarras","SC",56,112,26,15,29,168,238
"Balneário Pinhal","RS",0,1,0,0,0,1,1
"Balneário Rincão","SC",16,16,4,1,10,32,47
"Balsa Nova","PR",8,5,1,0,2,13,16
"Bálsamo","SP",10,15,1,5,2,25,33
"Balsas","MA",50,71,4,6,66,121,197
"Bambuí","MG",1,0,1,2,0,1,4
"Banabuiú","CE",0,2,0,0,0,2,2
"Bananal","SP",0,5,0,0,1,5,6
"Bananeiras","PB",5,1,2,1,1,6,10
"Bandeira do Sul","MG",0,0,0,0,2,0,2
"Bandeirante","SC",1,0,0,0,2,1,3
"Bandeirantes","MS",1,1,3,0,3,2,8
"Bandeirantes","PR",7,11,3,1,8,18,30
"Bannach","PA",1,1,0,0,0,2,2
"Banzaê","BA",0,2,0,0,1,2,3
"Barão","RS",1,1,0,0,1,2,3
"Barão de Antonina","SP",0,0,0,1,1,0,2
"Barão de Cocais","MG",3,3,0,1,4,6,11
"Barão de Cotegipe","RS",7,2,0,1,2,9,12
"Barão de Grajaú","MA",2,0,0,0,0,2,2
"Barão de Melgaço","MT",0,2,0,0,0,2,2
"Barão do Triunfo","RS",0,0,0,0,1,0,1
"Baraúna","PB",0,0,1,0,0,0,1
"Baraúna","RN",7,1,2,0,10,8,20
"Barbacena","MG",13,22,8,5,18,35,66
"Barbalha","CE",53,37,7,2,17,90,116
"Barbosa","SP",0,1,0,0,1,1,2
"Barbosa Ferraz","PR",0,1,0,0,3,1,4
"Barcarena","PA",24,21,8,9,25,45,87
"Bariri","SP",12,22,9,1,17,34,61
"Barra","BA",1,1,0,0,4,2,6
"Barra Bonita","SC",1,0,0,0,0,1,1
"Barra Bonita","SP",13,35,10,2,15,48,75
"Barra da Estiva","BA",3,2,0,0,1,5,6
"Barra de Santa Rosa","PB",5,0,0,0,0,5,5
"Barra de Santana","PB",1,0,0,0,0,1,1
"Barra de Santo Antônio","AL",8,3,0,1,6,11,18
"Barra de São Francisco","ES",15,33,8,3,5,48,64
"Barra de São Miguel","AL",22,19,2,1,6,41,50
"Barra de São Miguel","PB",1,0,0,0,0,1,1
"Barra do Bugres","MT",2,11,6,1,6,13,26
"Barra do Choça","BA",12,6,0,0,1,18,19
"Barra do Corda","MA",5,3,0,0,5,8,13
"Barra do Garças","MT",12,19,7,5,27,31,70
"Barra do Guarita","RS",0,0,0,0,1,0,1
"Barra do Mendes","BA",0,0,0,0,2,0,2
"Barra do Ouro","TO",2,0,0,0,0,2,2
"Barra do Piraí","RJ",29,34,5,5,20,63,93
"Barra do Ribeiro","RS",3,5,2,1,4,8,15
"Barra do Rio Azul","RS",1,2,0,0,1,3,4
"Barra do Turvo","SP",0,2,0,0,0,2,2
"Barra dos Coqueiros","SE",159,121,6,1,20,280,307
"Barra Funda","RS",1,0,0,0,1,1,2
"Barra Longa","MG",0,0,0,0,1,0,1
"Barra Mansa","RJ",99,85,19,7,83,184,293
"Barra Velha","SC",61,64,13,9,33,125,180
"Barracão","PR",1,1,1,0,3,2,6
"Barras","PI",2,2,2,1,0,4,7
"Barreira","CE",3,0,1,1,1,3,6
"Barreiras","BA",94,92,26,23,69,186,304
"Barreirinhas","MA",6,7,0,2,4,13,19
"Barreiros","PE",10,2,2,1,2,12,17
"Barretos","SP",107,145,38,27,76,252,393
"Barrinha","SP",15,8,0,3,8,23,34
"Barro","CE",0,0,1,0,0,0,1
"Barro Alto","GO",1,0,0,0,1,1,2
"Barro Duro","PI",0,3,0,0,0,3,3
"Barroquinha","CE",4,0,0,0,0,4,4
"Barros Cassal","RS",0,0,0,0,1,0,1
"Barroso","MG",0,3,0,0,2,3,5
"Barueri","SP",986,1999,342,290,485,2985,4102
"Bastos","SP",1,7,7,2,24,8,41
"Bataguassu","MS",2,10,0,1,3,12,16
"Batalha","AL",3,2,0,0,1,5,6
"Batatais","SP",29,44,6,7,18,73,104
"Batayporã","MS",1,0,0,1,0,1,2
"Baturité","CE",7,5,1,0,3,12,16
"Bauru","SP",706,975,271,55,285,1681,2292
"Bayeux","PB",95,17,3,2,13,112,130
"Bebedouro","SP",48,86,18,27,27,134,206
"Beberibe","CE",4,7,0,1,5,11,17
"Bela Cruz","CE",2,3,0,0,1,5,6
"Bela Vista","MS",0,4,3,0,7,4,14
"Bela Vista de Goiás","GO",21,21,2,1,6,42,51
"Bela Vista de Minas","MG",0,2,0,0,1,2,3
"Bela Vista do Maranhão","MA",0,0,0,0,2,0,2
"Bela Vista do Paraíso","PR",4,1,1,0,1,5,7
"Bela Vista do Toldo","SC",0,2,0,0,1,2,3
"Belém","AL",1,2,1,0,1,3,5
"Belém","PA",1408,1528,441,241,974,2936,4592
"Belém","PB",0,1,0,0,0,1,1
"Belém de Maria","PE",0,0,0,0,1,0,1
"Belém do Brejo do Cruz","PB",1,0,0,0,1,1,2
"Belém do Piauí","PI",1,0,0,0,0,1,1
"Belém do São Francisco","PE",2,2,0,0,1,4,5
"Belford Roxo","RJ",132,52,6,9,36,184,235
"Belmiro Braga","MG",1,0,0,0,0,1,1
"Belmonte","BA",0,1,0,0,0,1,1
"Belo Campo","BA",5,2,0,0,3,7,10
"Belo Horizonte","MG",9059,11853,3257,820,4113,20912,29102
"Belo Jardim","PE",16,12,2,2,8,28,40
"Belo Monte","AL",2,0,0,0,0,2,2
"Belo Oriente","MG",1,3,0,0,8,4,12
"Belo Vale","MG",2,0,0,0,1,2,3
"Belterra","PA",1,0,0,0,1,1,2
"Beneditinos","PI",0,0,0,0,1,0,1
"Benedito Novo","SC",7,7,0,0,2,14,16
"Benevides","PA",15,10,1,5,9,25,40
"Bento de Abreu","SP",0,2,0,0,1,2,3
"Bento Gonçalves","RS",124,135,57,30,88,259,434
"Bequimão","MA",0,0,0,0,1,0,1
"Berilo","MG",0,0,0,0,1,0,1
"Bernardino de Campos","SP",0,0,1,1,0,0,2
"Bernardo do Mearim","MA",2,0,0,0,0,2,2
"Bertioga","SP",52,94,30,14,22,146,212
"Betim","MG",131,97,30,15,48,228,321
"Bezerros","PE",20,11,1,1,4,31,37
"Bicas","MG",2,0,0,1,1,2,4
"Biguaçu","SC",131,109,22,10,19,240,291
"Bilac","SP",0,7,2,0,3,7,12
"Biquinhas","MG",0,0,0,0,1,0,1
"Birigui","SP",44,137,33,11,40,181,265
"Biritiba Mirim","SP",11,8,3,1,7,19,30
"Biritinga","BA",0,1,0,0,0,1,1
"Bituruna","PR",3,2,0,1,0,5,6
"Blumenau","SC",971,1336,315,224,220,2307,3066
"Boa Esperança","ES",0,4,1,0,1,4,6
"Boa Esperança","MG",2,3,4,1,3,5,13
"Boa Esperança","PR",2,1,0,0,1,3,4
"Boa Esperança","SP",0,1,0,0,0,1,1
"Boa Esperança do Sul","SP",1,4,0,0,1,5,6
"Boa Nova","BA",1,0,0,0,0,1,1
"Boa Ventura","PB",0,1,0,0,0,1,1
"Boa Ventura de São Roque","PR",0,0,1,0,0,0,1
"Boa Viagem","CE",5,3,1,0,2,8,11
"Boa Vista","RR",525,236,25,10,199,761,995
"Boa Vista da Aparecida","PR",2,1,0,1,1,3,5
"Boa Vista das Missões","RS",1,1,0,0,1,2,3
"Boa Vista do Buricá","RS",4,2,1,0,2,6,9
"Boa Vista do Cadeado","RS",1,0,0,0,0,1,1
"Boa Vista do Sul","RS",0,0,0,0,3,0,3
"Boca da Mata","AL",3,1,0,0,2,4,6
"Bocaina","PI",0,1,0,0,0,1,1
"Bocaina","SP",2,3,1,0,2,5,8
"Bocaiúva","MG",2,5,0,0,1,7,8
"Bocaiúva do Sul","PR",11,6,0,2,0,17,19
"Bodó","RN",1,0,0,0,0,1,1
"Bodocó","PE",4,0,0,0,0,4,4
"Bodoquena","MS",0,1,1,0,2,1,4
"Bofete","SP",1,2,1,0,3,3,7
"Boituva","SP",83,111,43,15,66,194,318
"Bom Conselho","PE",6,2,0,1,1,8,10
"Bom Despacho","MG",5,5,1,4,7,10,22
"Bom Jardim","MA",1,0,0,1,1,1,3
"Bom Jardim","PE",4,0,0,1,0,4,5
"Bom Jardim","RJ",2,9,1,0,13,11,25
"Bom Jardim da Serra","SC",1,2,0,0,2,3,5
"Bom Jardim de Goiás","GO",0,0,0,0,3,0,3
"Bom Jardim de Minas","MG",2,0,0,0,0,2,2
"Bom Jesus","PI",2,6,1,3,1,8,13
"Bom Jesus","RN",1,0,0,0,1,1,2
"Bom Jesus","RS",1,0,0,1,1,1,3
"Bom Jesus","SC",0,2,0,0,0,2,2
"Bom Jesus da Lapa","BA",11,11,3,4,20,22,49
"Bom Jesus da Penha","MG",0,0,0,0,1,0,1
"Bom Jesus das Selvas","MA",0,0,0,0,1,0,1
"Bom Jesus de Goiás","GO",2,16,1,5,2,18,26
"Bom Jesus do Amparo","MG",2,0,0,0,0,2,2
"Bom Jesus do Araguaia","MT",1,2,1,0,0,3,4
"Bom Jesus do Galho","MG",1,0,0,0,3,1,4
"Bom Jesus do Itabapoana","RJ",2,4,1,2,4,6,13
"Bom Jesus do Norte","ES",7,11,1,1,4,18,24
"Bom Jesus do Sul","PR",1,0,0,0,0,1,1
"Bom Jesus do Tocantins","PA",1,0,0,0,4,1,5
"Bom Jesus dos Perdões","SP",21,29,2,5,10,50,67
"Bom Lugar","MA",0,0,0,0,2,0,2
"Bom Princípio","RS",25,12,2,1,10,37,50
"Bom Princípio do Piauí","PI",1,0,0,0,1,1,2
"Bom Retiro","SC",1,3,1,0,2,4,7
"Bom Retiro do Sul","RS",10,5,0,1,4,15,20
